Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Accident_severity
31-50,Male,Elementary school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,2
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,2
31-50,Male,Elementary school,Employee,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,1
31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,1
Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
18-30,Male,Elementary school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,High school,Other,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,2
31-50,Male,Junior high school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Above high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,2
31-50,Male,Elementary school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,1
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,2
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,2
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,2
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,2
31-50,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,2
18-30,Male,Junior high school,Employee,Above 10yr,One way,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,2
18-30,Male,Elementary school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,2
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Above high school,Owner,5-10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,2
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Overtaking,2
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,2
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Owner,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,2
18-30,Male,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,2
Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Windy,Collision with roadside objects,Going straight,2
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,2
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,2
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
18-30,Male,High school,Employee,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,High school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,High school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads with some distress,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,2
31-50,Male,Above high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Under 18,Male,High school,Owner,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,2
18-30,Male,High school,Owner,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Other,Collision with pedestrians,Moving Backward,2
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,2
18-30,Male,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,2
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,2
31-50,Male,Elementary school,Owner,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Moving Backward,2
31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,2
18-30,Male,Elementary school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,2
Under 18,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
31-50,Male,High school,Owner,1-2yr,other,No junction,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,1
31-50,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,1
31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,2
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
31-50,Male,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,2
Over 51,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,2
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,2
18-30,Male,Junior high school,Employee,1-2yr,other,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,2
Under 18,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,2
